trip_id,date,dept_lat,dept_lon,arr_lat,arr_lon,vehicle_type,request_time,wait_time_min,trip_distance_km,est_time_min,actual_time_min,arr_time,fare_usd,surge_pricing,tip_usd,driver_rating,traffic_level,weather,estimated_CO2_g
16,2026-02-01,11.577104,104.934959,11.600987,104.867686,Rickshaw,08:42,3,5.53,18,17,08:59,2.97,1.0,1.48,5,Medium,Clear,377.76
17,2026-02-01,11.599826,104.949681,11.524567,104.854199,Motor Dup,19:41,3,2.03,7,8,19:49,0.58,1.0,0.0,5,Medium,Clear,156.72
18,2026-02-01,11.608195,104.968993,11.534764,104.937689,Rickshaw,07:06,8,2.56,9,10,07:16,1.38,1.0,0.51,5,Very High,Clear,134.71
19,2026-02-01,11.593487,104.857594,11.589081,104.938035,Motor Dup,19:28,7,7.39,25,33,20:01,2.35,1.0,0.0,4,Very High,Cloudy,462.07
20,2026-02-01,11.589247,104.923698,11.549521,104.907517,Remork,13:26,6,5.33,18,23,13:49,3.29,1.3,0.0,4,High,Clear,533.4
21,2026-02-01,11.583705,104.9011,11.605302,104.908093,EV Car,07:12,6,3.42,11,15,07:27,3.21,1.3,1.51,4,High,Clear,26.57
22,2026-02-01,11.560314,104.952626,11.58392,104.933069,Remork,18:48,5,7.78,26,28,19:16,5.72,1.3,0.0,4,High,Cloudy,820.03
23,2026-02-01,11.57343,104.955679,11.530748,104.950862,Rickshaw,06:22,5,6.2,21,21,06:43,2.53,1.0,2.63,5,Medium,Smog,452.85
24,2026-02-01,11.608342,104.911313,11.602456,104.89224,EV Car,17:56,5,5.23,17,23,18:19,4.86,1.4,1.11,5,High,Windy,39.71
25,2026-02-01,11.528349,104.950141,11.562638,104.899487,EV Car,18:48,8,4.85,16,16,19:04,4.23,1.3,1.11,5,Very High,Clear,33.45
26,2026-02-01,11.546696,104.90054,11.545585,104.915711,Remork,13:10,7,6.67,22,27,13:37,4.9,1.2,0.0,4,Very High,Clear,656.2
27,2026-02-01,11.582435,104.872409,11.582903,104.863438,Motor Dup,10:38,3,7.93,26,34,11:12,2.39,1.0,0.0,3,High,Clear,547.37
28,2026-02-01,11.537982,104.857851,11.600145,104.879917,Rickshaw,06:49,7,7.65,26,26,07:15,5.43,1.5,0.0,5,Very High,Clear,434.98
29,2026-02-01,11.548745,104.915449,11.5431,104.865274,Remork,12:25,12,7.2,24,34,12:59,4.19,1.2,0.99,5,Very High,Clear,738.19
30,2026-02-01,11.591356,104.956686,11.550133,104.891015,Remork,13:53,4,5.73,19,20,14:13,4.41,1.3,0.0,4,Medium,Windy,616.81
31,2026-02-01,11.567807,104.923237,11.581281,104.877588,Rickshaw,10:09,6,3.75,12,11,10:20,2.12,1.1,0.0,3,High,Clear,215.22
32,2026-02-01,11.570086,104.861483,11.553702,104.931179,EV Car,18:52,4,3.41,11,20,19:12,3.34,1.3,0.0,5,High,Clear,28.83
33,2026-02-01,11.558588,104.88729,11.524408,104.879683,Remork,09:34,3,7.83,26,29,10:03,4.67,1.0,0.0,4,Medium,Clear,637.08
34,2026-02-01,11.601153,104.894791,11.582221,104.861172,Remork,17:32,3,4.6,15,19,17:51,3.85,1.3,1.28,4,High,Cloudy,383.87
35,2026-02-01,11.588701,104.936787,11.518447,104.866568,Rickshaw,17:50,3,5.16,17,17,18:07,2.76,1.0,1.65,5,Medium,Windy,390.57
36,2026-02-01,11.549103,104.901836,11.602089,104.959374,Remork,11:11,3,5.28,18,17,11:28,3.11,1.3,0.0,4,Low,Cloudy,630.33
37,2026-02-01,11.567695,104.853856,11.582089,104.960144,Rickshaw,13:26,2,1.88,6,9,13:35,0.91,1.0,0.0,5,Medium,Cloudy,131.41
38,2026-02-01,11.568492,104.854537,11.595383,104.8743,Rickshaw,17:48,5,4.55,15,17,18:05,2.17,1.1,1.78,4,High,Cloudy,261.35
39,2026-02-01,11.567351,104.891894,11.533651,104.878275,Rickshaw,08:12,5,1.94,6,5,08:17,0.96,1.2,0.0,4,High,Clear,115.44
40,2026-02-01,11.54114,104.947892,11.607108,104.871812,EV Car,13:32,5,8.69,29,31,14:03,8.02,1.1,0.0,4,High,Cloudy,14.23
41,2026-02-01,11.551083,104.94379,11.515582,104.891135,Rickshaw,13:45,7,8.77,29,28,14:13,6.03,1.4,1.77,4,Very High,Cloudy,700.75
42,2026-02-01,11.523196,104.956342,11.574102,104.951306,Rickshaw,06:59,3,5.22,17,19,07:18,2.83,1.0,0.89,2,High,Clear,276.97
43,2026-02-01,11.602668,104.880663,11.567582,104.905865,Remork,07:42,3,4.09,14,14,07:56,2.42,1.3,1.17,5,Medium,Clear,486.12
44,2026-02-01,11.548575,104.881849,11.606202,104.855823,Remork,16:12,4,3.87,13,18,16:30,2.17,1.0,0.0,5,Medium,Clear,358.27
45,2026-02-01,11.558273,104.880428,11.537967,104.917561,Remork,07:03,4,8.04,27,27,07:30,6.18,1.2,2.65,4,Medium,Clear,798.85
46,2026-02-01,11.577123,104.905147,11.531072,104.89793,Rickshaw,12:00,4,9.86,33,34,12:34,5.29,1.3,0.0,3,Medium,Clear,617.69
47,2026-02-01,11.559561,104.898779,11.557955,104.869781,EV Car,19:46,7,6.98,23,30,20:16,4.68,1.0,0.0,5,Very High,Cloudy,8.33
48,2026-02-01,11.607663,104.961659,11.517398,104.856483,Remork,12:04,6,5.23,17,20,12:24,3.29,1.0,0.0,5,High,Clear,440.42
49,2026-02-01,11.562441,104.894798,11.511591,104.930126,Rickshaw,08:01,7,5.99,20,29,08:30,2.58,1.0,0.98,5,Very High,Cloudy,379.79
50,2026-02-01,11.553827,104.922708,11.568653,104.957669,Rickshaw,16:37,2,3.35,11,10,16:47,1.27,1.0,1.07,5,Medium,Clear,183.4
51,2026-02-01,11.573211,104.912647,11.514591,104.960554,Rickshaw,06:18,5,8.19,27,32,06:50,4.45,1.0,0.0,5,High,Clear,596.49
52,2026-02-01,11.589535,104.88329,11.52892,104.919715,EV Car,11:32,6,7.51,25,29,12:01,5.88,1.3,1.95,4,High,Cloudy,54.01
53,2026-02-01,11.557068,104.965669,11.535673,104.858306,Rickshaw,16:53,6,6.33,21,29,17:22,3.13,1.0,5.06,5,Very High,Cloudy,436.72
54,2026-02-01,11.522346,104.919053,11.589752,104.86176,Rickshaw,18:08,6,6.88,23,34,18:42,3.5,1.2,0.8,5,High,Clear,497.35
55,2026-02-01,11.550917,104.902169,11.599035,104.908438,EV Car,17:23,4,8.56,29,28,17:51,7.49,1.4,0.0,5,Medium,Clear,83.95
56,2026-02-01,11.53498,104.946579,11.55775,104.937006,Rickshaw,12:07,3,5.83,19,20,12:27,4.44,1.4,0.0,5,Medium,Clear,437.35
57,2026-02-01,11.55673,104.857908,11.57279,104.928445,EV Car,15:16,2,5.65,19,18,15:34,4.26,1.0,1.78,5,Low,Clear,54.87
58,2026-02-01,11.585814,104.96152,11.52735,104.910293,Remork,06:26,8,7.72,26,32,06:58,4.1,1.0,0.0,4,Very High,Smog,909.12
59,2026-02-01,11.515923,104.91209,11.588506,104.892514,Motor Dup,17:21,2,4.03,13,16,17:37,2.09,1.3,0.0,3,Medium,Clear,266.35
60,2026-02-01,11.595828,104.883591,11.536049,104.936462,Rickshaw,07:11,6,6.08,20,26,07:37,3.73,1.3,0.0,5,Very High,Clear,308.79
61,2026-02-01,11.520174,104.914748,11.592685,104.904302,Rickshaw,13:54,5,4.83,16,18,14:12,2.92,1.2,6.74,5,Medium,Cloudy,351.48
62,2026-02-01,11.537546,104.873296,11.595702,104.905455,Motor Dup,07:20,9,4.89,16,23,07:43,2.14,1.2,0.0,5,High,Cloudy,424.24
63,2026-02-01,11.595838,104.919137,11.562743,104.870978,Rickshaw,17:57,6,6.35,21,22,18:19,4.04,1.5,1.84,5,High,Clear,379.83
64,2026-02-01,11.577088,104.957626,11.534229,104.867694,Remork,13:59,12,5.74,19,20,14:19,2.88,1.1,6.78,5,Very High,Cloudy,467.43
65,2026-02-01,11.579897,104.951732,11.546517,104.941056,Rickshaw,12:01,5,5.3,18,25,12:26,2.08,1.1,0.0,4,High,Smog,306.51
66,2026-02-01,11.520088,104.90431,11.586034,104.958651,Rickshaw,14:06,4,9.58,32,40,14:46,4.67,1.0,0.0,4,High,Cloudy,499.88
67,2026-02-01,11.602586,104.934877,11.564244,104.92145,Rickshaw,13:51,3,3.43,11,13,14:04,2.02,1.2,0.0,3,Medium,Clear,260.19
68,2026-02-01,11.513711,104.949364,11.558243,104.893249,Remork,17:24,5,2.65,9,13,17:37,1.84,1.2,1.32,5,High,Clear,277.38
69,2026-02-01,11.572663,104.928958,11.558386,104.871037,Rickshaw,17:14,3,4.54,15,15,17:29,2.35,1.2,0.0,5,Medium,Cloudy,274.71
70,2026-02-01,11.567954,104.952934,11.563348,104.863629,Motor Dup,17:12,12,0.76,3,15,17:27,0.27,1.0,0.0,4,Very High,Smog,61.91
71,2026-02-01,11.547887,104.866843,11.570054,104.949625,Remork,20:15,1,6.93,23,24,20:39,4.75,1.3,0.0,4,Low,Clear,676.39
72,2026-02-01,11.580703,104.88895,11.605369,104.898519,EV Car,06:17,2,6.05,20,20,06:37,4.62,1.0,0.0,4,Low,Windy,23.23
73,2026-02-01,11.567022,104.922053,11.571159,104.937877,Rickshaw,18:36,2,4.96,17,15,18:51,2.74,1.3,0.0,2,Medium,Smog,276.45
74,2026-02-01,11.598588,104.884353,11.560819,104.96592,Remork,09:13,4,6.94,23,27,09:40,3.81,1.0,0.0,5,Medium,Cloudy,691.32
75,2026-02-01,11.566768,104.879301,11.574291,104.941717,Motor Dup,17:53,6,8.36,28,38,18:31,3.17,1.5,1.64,4,Very High,Clear,554.36
76,2026-02-01,11.54984,104.956354,11.596969,104.911589,Rickshaw,19:09,6,7.96,27,35,19:44,3.0,1.0,0.0,5,High,Cloudy,555.32
77,2026-02-01,11.550221,104.868419,11.547105,104.877743,EV Car,17:41,4,3.12,10,15,17:56,2.69,1.4,0.0,4,High,Clear,27.29
78,2026-02-01,11.570479,104.874881,11.529561,104.855716,Remork,18:57,2,8.03,27,25,19:22,5.71,1.5,0.93,4,Low,Clear,876.39
79,2026-02-01,11.53007,104.871765,11.513165,104.860461,Remork,17:33,5,6.58,22,32,18:05,4.52,1.4,0.84,3,Very High,Cloudy,619.31
80,2026-02-01,11.589236,104.864802,11.569344,104.939439,Rickshaw,07:41,12,3.72,12,18,07:59,2.34,1.3,0.0,3,Very High,Cloudy,290.27
81,2026-02-01,11.57374,104.961565,11.59451,104.923857,Motor Dup,16:44,4,5.06,17,18,17:02,1.8,1.0,1.08,5,Medium,Cloudy,443.03
82,2026-02-01,11.585887,104.870526,11.607948,104.954277,Rickshaw,16:11,1,4.91,16,14,16:25,1.72,1.0,0.0,5,Low,Cloudy,381.46
83,2026-02-02,11.566766,104.881802,11.539673,104.938668,Rickshaw,12:55,5,5.69,19,29,13:24,3.25,1.5,0.0,3,High,Cloudy,315.62
84,2026-02-02,11.604411,104.865797,11.550648,104.85099,Rickshaw,08:31,8,4.27,14,27,08:58,2.3,1.3,0.0,1,Very High,Windy,286.44
85,2026-02-02,11.517911,104.85841,11.591915,104.857574,Motor Dup,12:02,9,7.13,24,24,12:26,4.09,1.5,3.45,5,High,Clear,639.85
86,2026-02-02,11.520941,104.85626,11.543799,104.897814,Rickshaw,14:35,4,8.4,28,29,15:04,5.98,1.4,1.93,5,Medium,Smog,487.2
87,2026-02-02,11.53765,104.958874,11.608868,104.945213,Rickshaw,06:13,5,7.42,25,23,06:36,2.62,1.0,0.0,4,Medium,Cloudy,389.55
88,2026-02-02,11.540069,104.925447,11.53494,104.937572,Remork,17:14,2,6.99,23,23,17:37,5.69,1.3,1.63,5,Medium,Clear,792.28
89,2026-02-02,11.554853,104.944489,11.53885,104.855947,Remork,17:50,7,8.04,27,29,18:19,5.32,1.3,0.0,5,Very High,Cloudy,669.49
90,2026-02-02,11.511483,104.922081,11.583887,104.867205,EV Car,09:52,5,4.14,14,23,10:15,2.76,1.0,1.46,4,High,Windy,33.27
91,2026-02-02,11.520117,104.922248,11.533107,104.871203,EV Car,11:58,8,5.23,17,30,12:28,3.78,1.0,1.88,5,Very High,Clear,26.67
92,2026-02-02,11.526314,104.931183,11.599976,104.883631,EV Car,17:23,7,7.2,24,33,17:56,6.22,1.4,0.0,1,Very High,Cloudy,2.25
93,2026-02-02,11.512885,104.901601,11.552053,104.899448,EV Car,20:40,4,7.28,24,25,21:05,5.88,1.0,0.0,3,Low,Clear,0.11
94,2026-02-02,11.516633,104.914412,11.524342,104.879218,Motor Dup,13:12,4,6.58,22,21,13:33,2.38,1.4,0.0,5,High,Windy,534.28
95,2026-02-02,11.567541,104.851306,11.521189,104.864953,Rickshaw,13:14,3,7.39,25,29,13:43,3.44,1.0,0.0,4,Medium,Smog,581.22
96,2026-02-02,11.55322,104.96396,11.580764,104.96819,Remork,17:20,5,5.32,18,29,17:49,3.32,1.0,0.0,5,High,Clear,527.32
97,2026-02-02,11.604959,104.850603,11.526587,104.888612,Remork,09:52,4,5.84,19,19,10:11,2.77,1.0,1.93,4,Medium,Windy,469.83
98,2026-02-02,11.596725,104.931941,11.571356,104.959769,Rickshaw,09:24,7,5.02,17,24,09:48,2.87,1.2,0.0,5,Very High,Clear,338.17
99,2026-02-02,11.514582,104.90124,11.557407,104.855091,Rickshaw,17:45,8,6.47,22,33,18:18,3.02,1.2,0.0,4,Very High,Windy,389.54
100,2026-02-02,11.597016,104.894009,11.599363,104.889015,EV Car,11:02,3,5.94,20,20,11:22,3.72,1.0,1.29,4,Low,Smog,26.84
101,2026-02-02,11.598706,104.948668,11.602655,104.968049,Motor Dup,06:37,4,11.33,38,41,07:18,2.84,1.0,0.0,5,Medium,Cloudy,798.8
102,2026-02-02,11.584855,104.96639,11.534579,104.959378,Rickshaw,11:11,2,5.35,18,18,11:29,3.79,1.5,1.1,4,Low,Clear,394.9
103,2026-02-02,11.56439,104.948152,11.608298,104.866062,EV Car,14:32,3,2.9,10,12,14:44,1.8,1.0,0.89,4,Low,Smog,27.72
104,2026-02-02,11.554647,104.946053,11.538733,104.950086,Rickshaw,20:01,5,5.29,18,16,20:17,2.09,1.0,0.76,5,Medium,Windy,328.24
105,2026-02-02,11.519464,104.955809,11.517964,104.959219,Rickshaw,13:00,4,7.26,24,28,13:28,4.16,1.2,0.83,5,High,Windy,436.09
106,2026-02-02,11.607707,104.953342,11.544236,104.949603,Rickshaw,13:46,3,7.76,26,30,14:16,4.02,1.1,1.51,5,Medium,Cloudy,573.03
107,2026-02-02,11.547272,104.913224,11.582777,104.961664,Remork,15:25,1,5.05,17,16,15:41,2.72,1.1,0.0,5,Low,Smog,510.12
108,2026-02-02,11.603858,104.917198,11.561004,104.948625,Remork,07:05,6,6.24,21,29,07:34,5.08,1.5,0.0,5,High,Smog,518.68
109,2026-02-02,11.524875,104.886977,11.567821,104.865694,Rickshaw,11:52,3,5.64,19,18,12:10,3.02,1.0,0.0,4,Medium,Windy,311.23
110,2026-02-02,11.581886,104.874217,11.58369,104.915214,Rickshaw,07:38,4,3.62,12,14,07:52,2.0,1.4,0.0,5,High,Smog,196.58
111,2026-02-02,11.553779,104.921921,11.549005,104.9572,Remork,12:04,6,5.07,17,21,12:25,3.44,1.3,0.0,5,Very High,Cloudy,417.04
112,2026-02-02,11.573006,104.866948,11.53169,104.927958,EV Car,09:55,5,3.8,13,22,10:17,2.74,1.2,9.38,5,High,Clear,32.48
113,2026-02-02,11.545838,104.917166,11.551407,104.912786,Rickshaw,07:44,8,5.42,18,21,08:05,3.09,1.5,6.77,5,Very High,Clear,281.85
114,2026-02-02,11.583207,104.902735,11.523544,104.945253,Remork,07:48,6,8.02,27,35,08:23,4.72,1.3,2.68,4,High,Clear,781.28
115,2026-02-02,11.523014,104.947907,11.511732,104.968253,EV Car,13:02,6,7.69,26,31,13:33,6.42,1.3,0.0,4,High,Clear,18.48
116,2026-02-02,11.604906,104.913993,11.558559,104.88715,Rickshaw,14:57,3,2.86,10,8,15:05,1.16,1.0,0.0,5,High,Cloudy,208.24
117,2026-02-02,11.604836,104.950044,11.59597,104.862433,EV Car,07:51,6,7.44,25,32,08:23,8.27,1.4,1.47,4,High,Cloudy,10.06
118,2026-02-02,11.526838,104.953533,11.580466,104.877799,Rickshaw,17:04,3,9.78,33,34,17:38,6.13,1.5,0.0,5,Low,Cloudy,497.7
119,2026-02-02,11.561416,104.963483,11.578126,104.969881,Remork,18:08,5,7.38,25,31,18:39,4.12,1.2,0.0,4,High,Cloudy,720.81
120,2026-02-02,11.530573,104.916738,11.549329,104.867549,Rickshaw,07:24,8,5.29,18,22,07:46,2.59,1.2,0.64,5,High,Cloudy,341.34
121,2026-02-02,11.52069,104.85141,11.540566,104.901043,Rickshaw,22:05,2,4.87,16,16,22:21,2.66,1.0,0.85,5,Low,Clear,310.64
122,2026-02-02,11.589168,104.911283,11.530825,104.931083,Rickshaw,11:12,4,7.71,26,26,11:38,4.42,1.1,0.97,4,High,Clear,388.34
123,2026-02-02,11.566453,104.950743,11.568777,104.900951,EV Car,06:28,5,3.08,10,18,06:46,2.52,1.3,0.0,4,High,Cloudy,23.14
124,2026-02-02,11.532382,104.938797,11.543338,104.883107,Motor Dup,21:18,1,2.69,9,11,21:29,0.76,1.0,0.0,5,Low,Clear,214.15
125,2026-02-02,11.538444,104.890145,11.514313,104.953643,Motor Dup,16:22,1,4.71,16,17,16:39,1.76,1.2,0.78,4,Low,Smog,351.46
126,2026-02-02,11.538303,104.863749,11.529971,104.88175,Rickshaw,19:08,6,5.55,18,24,19:32,3.47,1.3,0.0,5,High,Cloudy,291.0
127,2026-02-02,11.57241,104.963103,11.551149,104.928193,Rickshaw,18:55,10,4.88,16,18,19:13,3.15,1.3,0.0,4,High,Clear,248.69
128,2026-02-02,11.574658,104.922254,11.529857,104.915948,Rickshaw,18:50,5,5.51,18,20,19:10,3.12,1.2,0.0,4,Medium,Clear,365.53
129,2026-02-02,11.53108,104.866605,11.518353,104.906234,Rickshaw,14:26,1,7.25,24,26,14:52,2.97,1.1,1.62,5,Low,Cloudy,444.94
130,2026-02-02,11.54637,104.910248,11.571146,104.87876,EV Car,14:39,2,1.56,5,3,14:42,1.54,1.2,0.0,3,Low,Clear,14.76
131,2026-02-02,11.570018,104.909313,11.53293,104.876751,EV Car,22:46,6,10.21,34,40,23:26,11.04,1.5,0.85,5,Very High,Clear,62.52
132,2026-02-02,11.601955,104.926575,11.591816,104.952715,EV Car,12:10,7,4.72,16,26,12:36,5.32,1.5,0.0,5,Very High,Cloudy,45.41
133,2026-02-02,11.513433,104.913794,11.581437,104.913342,Rickshaw,08:58,3,5.02,17,23,09:21,2.79,1.5,0.51,5,High,Clear,357.73
134,2026-02-02,11.514486,104.913725,11.544616,104.909816,Rickshaw,10:55,7,2.71,9,10,11:05,1.49,1.0,0.0,4,Medium,Windy,161.17
135,2026-02-02,11.584844,104.944287,11.515238,104.918897,Rickshaw,13:20,8,3.69,12,10,13:30,1.56,1.1,0.65,4,Very High,Cloudy,293.39
136,2026-02-02,11.603628,104.865069,11.583116,104.905851,Remork,08:54,6,5.83,19,22,09:16,5.37,1.5,1.84,5,High,Clear,615.01
137,2026-02-02,11.574641,104.884527,11.59192,104.914508,EV Car,09:39,4,4.44,15,14,09:53,3.54,1.1,0.0,4,Medium,Smog,10.79
138,2026-02-02,11.607702,104.942392,11.546945,104.960807,Rickshaw,18:45,2,5.44,18,17,19:02,2.41,1.1,0.0,3,Medium,Cloudy,329.66
139,2026-02-02,11.551406,104.958204,11.544119,104.909324,Rickshaw,19:08,1,5.37,18,17,19:25,2.94,1.0,0.0,5,Low,Clear,423.73
140,2026-02-02,11.542382,104.911132,11.552245,104.933601,Remork,11:23,1,4.9,16,15,11:38,3.6,1.3,0.0,4,Low,Clear,496.36
141,2026-02-02,11.548812,104.905611,11.527984,104.909777,Rickshaw,12:54,3,2.21,7,9,13:03,1.13,1.3,0.0,5,High,Cloudy,152.5
142,2026-02-02,11.600588,104.856547,11.527804,104.872467,EV Car,07:07,10,6.88,23,29,07:36,4.72,1.1,0.0,3,Very High,Cloudy,67.99
143,2026-02-02,11.589077,104.883073,11.584931,104.916248,Rickshaw,22:25,1,3.1,10,9,22:34,1.58,1.0,1.5,5,Low,Clear,168.96
144,2026-02-02,11.522987,104.950512,11.579019,104.874515,EV Car,07:35,8,7.82,26,27,08:02,6.12,1.1,0.0,4,Very High,Clear,51.6
145,2026-02-02,11.573567,104.95991,11.555019,104.942401,EV Car,18:02,6,3.14,10,14,18:16,2.59,1.2,1.17,5,Very High,Clear,26.55
146,2026-02-02,11.602665,104.895831,11.600549,104.909911,Rickshaw,11:49,3,5.47,18,17,12:06,2.07,1.0,0.0,4,Low,Clear,309.07
147,2026-02-02,11.596513,104.930779,11.594048,104.880757,Motor Dup,07:47,9,6.77,23,35,08:22,2.91,1.4,0.0,5,Very High,Clear,430.06
148,2026-02-02,11.606983,104.913204,11.595264,104.919802,Rickshaw,20:05,2,7.28,24,26,20:31,4.8,1.2,0.0,5,Low,Smog,532.0
149,2026-02-02,11.512811,104.957399,11.535293,104.909794,Remork,17:52,4,9.34,31,36,18:28,6.57,1.1,0.5,5,High,Windy,1086.65
150,2026-02-02,11.606858,104.888438,11.557546,104.937501,EV Car,10:25,2,7.31,24,24,10:49,4.88,1.0,0.0,5,Low,Clear,50.66
151,2026-02-02,11.512718,104.910333,11.553377,104.892575,Rickshaw,22:53,4,7.9,26,30,23:23,3.46,1.0,0.0,5,Medium,Clear,586.16
152,2026-02-02,11.554257,104.949771,11.546684,104.881036,EV Car,16:46,2,9.64,32,31,17:17,7.32,1.0,4.9,5,Low,Clear,39.78
153,2026-02-02,11.587442,104.930547,11.56481,104.875071,Rickshaw,10:08,4,8.39,28,33,10:41,3.99,1.0,1.87,4,Medium,Clear,660.11
154,2026-02-02,11.57252,104.932799,11.556842,104.890408,Rickshaw,15:38,2,3.06,10,8,15:46,1.43,1.0,0.0,5,Low,Clear,224.57
155,2026-02-02,11.532525,104.964138,11.582633,104.873142,EV Car,07:55,6,6.05,20,28,08:23,5.81,1.2,1.31,5,Very High,Smog,29.44
156,2026-02-02,11.57335,104.877405,11.598665,104.920757,Rickshaw,19:37,1,7.98,27,29,20:06,3.36,1.0,0.0,2,Low,Clear,565.79
157,2026-02-02,11.512075,104.896119,11.555611,104.888798,Rickshaw,14:22,3,4.96,17,28,14:50,1.98,1.0,0.0,4,High,Cloudy,294.07
158,2026-02-02,11.523799,104.964602,11.530666,104.911947,Rickshaw,17:08,4,4.78,16,20,17:28,3.01,1.2,0.0,5,High,Cloudy,328.75
159,2026-02-02,11.576612,104.951631,11.557167,104.929142,Rickshaw,17:14,2,5.7,19,20,17:34,2.07,1.0,0.0,4,Medium,Cloudy,345.22
160,2026-02-02,11.571189,104.859663,11.54158,104.873898,Rickshaw,16:15,1,11.94,40,41,16:56,4.64,1.1,0.0,4,Low,Clear,952.07
161,2026-02-02,11.562539,104.854136,11.584849,104.948413,Rickshaw,11:10,2,7.88,26,29,11:39,3.86,1.0,0.0,5,Medium,Cloudy,552.0
162,2026-02-02,11.541186,104.945648,11.605503,104.922005,EV Car,08:27,6,5.53,18,23,08:50,5.03,1.3,0.0,4,High,Clear,48.29
163,2026-02-02,11.529286,104.899126,11.574258,104.920772,Rickshaw,17:54,3,6.99,23,22,18:16,3.76,1.3,0.0,4,Medium,Clear,452.89
164,2026-02-03,11.591111,104.870891,11.563346,104.947955,Rickshaw,18:45,7,7.21,24,27,19:12,3.04,1.1,1.5,4,High,Smog,529.63
165,2026-02-03,11.544355,104.860694,11.519755,104.94006,Remork,16:16,3,6.29,21,21,16:37,4.33,1.1,0.0,3,Low,Clear,530.92
166,2026-02-03,11.532776,104.932546,11.561289,104.924685,Rickshaw,14:10,4,7.46,25,23,14:33,4.1,1.0,1.94,4,Medium,Clear,569.76
167,2026-02-03,11.536754,104.884745,11.559818,104.902224,Rickshaw,12:14,5,5.25,18,25,12:39,2.33,1.2,0.0,5,High,Clear,282.07
168,2026-02-03,11.602176,104.885581,11.591019,104.922713,Remork,16:25,3,8.8,29,31,16:56,4.72,1.0,1.11,5,Medium,Clear,858.52
169,2026-02-03,11.522418,104.943035,11.526151,104.932142,Remork,10:02,4,7.33,24,23,10:25,3.67,1.0,0.0,4,Low,Windy,794.17
170,2026-02-03,11.552292,104.890434,11.589369,104.871284,Motor Dup,13:22,4,6.99,23,23,13:45,2.81,1.4,0.0,4,Medium,Clear,438.02
171,2026-02-03,11.603523,104.929296,11.561872,104.896024,Rickshaw,11:52,4,5.85,20,22,12:14,3.13,1.0,9.72,5,Medium,Clear,374.71
172,2026-02-03,11.53756,104.905917,11.56891,104.956654,Rickshaw,12:12,6,7.44,25,35,12:47,3.48,1.3,0.0,5,High,Cloudy,564.65
173,2026-02-03,11.521147,104.960848,11.608415,104.879158,Rickshaw,13:44,2,7.32,24,29,14:13,3.51,1.1,0.0,4,Medium,Windy,510.83
174,2026-02-03,11.543319,104.947249,11.592573,104.901441,Motor Dup,08:33,4,5.35,18,25,08:58,3.01,1.5,0.0,5,High,Smog,328.41
